         891256 function calls (890504 primitive calls) in 2.705 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 numbers.py:147(Real)
        1    0.000    0.000    0.000    0.000 numbers.py:267(Rational)
        1    0.000    0.000    0.000    0.000 numbers.py:294(Integral)
        1    0.000    0.000    0.000    0.000 numbers.py:32(Complex)
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
        1    0.000    0.000    0.004    0.004 optionfile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 optionfile.py:9(Parser)
        1    0.000    0.000    0.000    0.000 os.py:40(_get_exports_list)
        1    0.000    0.000    0.000    0.000 os.py:44(<listcomp>)
        5    0.000    0.000    0.000    0.000 os.py:664(__getitem__)
        5    0.000    0.000    0.000    0.000 os.py:742(encode)
        5    0.000    0.000    0.000    0.000 os.py:746(decode)
    28004    0.012    0.000    0.012    0.000 protocol.py:117(read_uint8)
     3999    0.004    0.000    0.007    0.000 protocol.py:122(read_uint16)
    28004    0.019    0.000    0.038    0.000 protocol.py:150(read_length_encoded_integer)
    14002    0.023    0.000    0.030    0.000 protocol.py:180(read_struct)
    28004    0.018    0.000    0.021    0.000 protocol.py:186(is_ok_packet)
        1    0.000    0.000    0.000    0.000 protocol.py:196(is_auth_switch_request)
        1    0.000    0.000    0.000    0.000 protocol.py:200(is_extra_auth_data)
    14004    0.009    0.000    0.009    0.000 protocol.py:211(is_error_packet)
    14004    0.008    0.000    0.017    0.000 protocol.py:214(check_error)
        1    0.000    0.000    0.000    0.000 protocol.py:226(FieldDescriptorPacket)
        1    0.000    0.000    0.000    0.000 protocol.py:276(OKPacketWrapper)
    14002    0.073    0.000    0.183    0.000 protocol.py:283(__init__)
    14002    0.008    0.000    0.012    0.000 protocol.py:297(__getattr__)
        1    0.000    0.000    0.000    0.000 protocol.py:301(EOFPacketWrapper)
        1    0.000    0.000    0.000    0.000 protocol.py:323(LoadLocalPacketWrapper)
        1    0.000    0.000    0.000    0.000 protocol.py:4(<module>)
        1    0.000    0.000    0.000    0.000 protocol.py:49(MysqlPacket)
    14004    0.007    0.000    0.007    0.000 protocol.py:56(__init__)
        1    0.000    0.000    0.000    0.000 protocol.py:60(get_all_data)
    14002    0.007    0.000    0.007    0.000 protocol.py:77(read_all)
    14002    0.011    0.000    0.013    0.000 protocol.py:86(advance)
       15    0.000    0.000    0.008    0.001 re.py:231(compile)
       15    0.000    0.000    0.008    0.001 re.py:286(_compile)
        1    0.000    0.000    0.000    0.000 selectors.py:205(_BaseSelectorImpl)
        1    0.000    0.000    0.000    0.000 selectors.py:290(SelectSelector)
        1    0.000    0.000    0.000    0.000 selectors.py:343(PollSelector)
        1    0.000    0.000    0.000    0.000 selectors.py:394(EpollSelector)
        1    0.000    0.000    0.001    0.001 selectors.py:5(<module>)
        1    0.000    0.000    0.000    0.000 selectors.py:59(_SelectorMapping)
        1    0.000    0.000    0.000    0.000 selectors.py:79(BaseSelector)
        1    0.000    0.000    0.000    0.000 socket.py:130(_GiveupOnSendfile)
        1    0.000    0.000    0.000    0.000 socket.py:133(socket)
        1    0.000    0.000    0.000    0.000 socket.py:139(__init__)
        1    0.000    0.000    0.000    0.000 socket.py:218(makefile)
        1    0.000    0.000    0.000    0.000 socket.py:403(_decref_socketios)
